exploitability,t
0.6666666666666666,0
0.6666666666666666,1
0.5,2
0.4074074074074074,3
0.3055555555555555,4
0.2444444444444444,5
0.2037037037037037,6
0.17460317460317457,7
0.16666666666666677,8
0.1620370370370371,9
0.14583333333333337,10
0.2636455860679004,20
0.16812099320943918,30
0.1260907449070794,40
0.08946800929781218,50
0.07580178017980996,60
0.12639201283730814,70
0.09501929131530143,80
0.0894951583225391,90
0.0805456424902852,100
0.056471021929189846,200
0.047933867493705956,300
0.030208856967421815,400
0.03501325318788048,500
0.03942510565156501,600
0.029544399811257754,700
0.026756583995439703,800
0.026483759494243142,900
0.020123875071817787,1000
0.018873412668161116,2000
0.01102170461206492,3000
0.010211104760230516,4000
0.008749111866077991,5000
0.010235053807436306,6000
0.008161029530710712,7000
0.008852577410596307,8000
0.006850355857343726,9000
